id,title,description,status,priority,resolution,created_at
1120,Service Discovery Broken,Services unable to discover each other after cluster restart,Resolved,Critical,Restarted Consul service discovery cluster and verified all services registered,2024-05-03
1121,On Call Handover Not Documented,On-call engineer did not document incidents during shift,Resolved,Medium,Updated on-call runbook with mandatory handover checklist,2024-02-03
1122,Postmortem Not Completed,Production incident postmortem overdue by 2 weeks,Resolved,Low,Completed postmortem document and shared with engineering team,2024-02-13
1123,Runbook Outdated,Runbook for database restore pointing to deprecated tool,Resolved,Medium,Updated runbook with current restore procedure and tested end to end,2024-02-23
1124,Alert Runbook Missing,Alert firing with no runbook link causing delayed response,Resolved,Medium,Created runbook for disk space alert and linked in alertmanager config,2024-03-05
1125,Slack Integration Broken,Incident alerts not posting to Slack channel,Resolved,High,Regenerated Slack webhook URL after workspace settings change,2024-03-15
1126,GitHub Repository Access,New engineer cannot access source code repositories,Resolved,Medium,Added engineer to GitHub organization and correct team,2024-03-25
1127,Code Review SLA Missed,Pull requests waiting more than 5 days for code review,Resolved,Low,Implemented PR reminder bot to notify reviewers after 24 hours,2024-04-05
1128,Local Development Environment Broken,New joiner cannot set up local development environment,Resolved,Medium,Updated getting started guide with missing Docker Desktop prerequisite,2024-04-15
1129,API Documentation Outdated,Swagger docs not matching actual API behavior causing confusion,Resolved,Low,Updated OpenAPI spec and enabled auto-generation from code annotations,2024-04-25
1130,Test Environment Data Refresh,Test environment running with 6 month old data causing test failures,Resolved,Medium,Refreshed test environment with anonymized production data snapshot,2024-05-05
1131,Backup Restore Not Tested,Monthly backup restore test not performed for 3 months,Resolved,High,Performed restore test successfully and scheduled monthly automated test,2024-02-05
1132,Capacity Planning Needed,Production cluster approaching 80 percent capacity,Resolved,High,Completed capacity analysis and submitted request for additional nodes,2024-02-15
1133,Dependency Update Overdue,Multiple dependencies with known vulnerabilities not updated,Resolved,Medium,Updated all dependencies with known CVEs and added dependency scanning to CI,2024-02-25
1134,API Rate Limit Too Restrictive,Engineers hitting API rate limits during performance testing,Resolved,Medium,Increased rate limit for internal IP range in API gateway config,2024-03-07
1135,Log Retention Policy Missing,Application logs being deleted after 3 days causing audit issues,Resolved,High,Set CloudWatch log retention to 90 days per compliance requirement,2024-03-17
1136,Performance Test Environment Missing,No environment available for load testing new features,Resolved,Medium,Provisioned dedicated performance test environment with production-like config,2024-03-27
1137,Docker Hub Rate Limiting,CI builds failing due to Docker Hub pull rate limits,Resolved,High,Mirrored required base images to internal ECR registry,2024-04-07
1138,Kubernetes Upgrade Needed,Cluster running deprecated version losing vendor support,Resolved,High,Upgraded cluster from 1.24 to 1.27 with zero downtime using rolling upgrade,2024-04-17
1139,API Versioning Needed,Breaking API changes causing client failures,Resolved,High,Implemented API versioning with v1 and v2 routes and deprecation notices,2024-04-27
1140,Feature Flag Stuck Enabled,Feature flag not disabling properly causing unwanted feature exposure,Resolved,Medium,Fixed LaunchDarkly SDK initialization that was caching stale flag values,2024-05-07
1141,Kafka Consumer Lag on Analytics Service,Analytics service consumer group falling behind on events topic,Open,High,,2024-05-10
1142,Kubernetes StatefulSet Not Scaling,StatefulSet for cache service not scaling beyond 3 replicas,Open,High,,2024-05-12
1143,VPN Performance Degraded for Remote Users,Remote engineers in Asia reporting very slow VPN speeds,Open,Medium,,2024-05-14
1144,AWS Cost Anomaly Detected,Unexpected cost spike in EC2 billing this week,Open,High,,2024-05-16
1145,Database Query Regression,New release introduced slow query on product search,Open,Critical,,2024-05-18
1146,Docker Image Vulnerability,Critical CVE detected in production Docker base image,Open,Critical,,2024-05-20
1147,Monitoring Gap Identified,No metrics collected from payment service worker pods,Open,Medium,,2024-05-22
1148,SSL Certificate Renewal Needed,api-internal.northwind.io certificate expiring in 14 days,Open,High,,2024-05-24
1149,New Service Deployment Failing,New recommendation service failing to deploy to production,Open,High,,2024-05-26
1150,Log Ingestion Stopped,Logs from auth service not appearing in Kibana,Open,Medium,,2024-05-28
1151,Autoscaling Not Triggering,HPA not scaling up search service despite queue backlog,Open,High,,2024-05-30
1152,CDN Purge Not Working,CDN cache not purging after content update,Open,Medium,,2024-06-01
1153,Pipeline Flaky Tests,CI pipeline failing 30 percent of runs due to flaky tests,Open,Medium,,2024-06-03
1154,Kubernetes Upgrade Compatibility,Planning upgrade to 1.28 but need compatibility check,Open,Low,,2024-06-05
1155,Runbook Review Needed,Several runbooks not reviewed in over 6 months,Open,Low,,2024-06-07
1156,Access Audit Overdue,Quarterly access review overdue by 3 weeks,Open,Medium,,2024-06-09
1157,Performance Baseline Missing,No performance baseline established for new checkout service,Open,Medium,,2024-06-11
1158,Dependency Audit Needed,Full dependency audit not performed this quarter,Open,Low,,2024-06-13
1159,Disaster Recovery Test Overdue,DR test not performed in 6 months per compliance requirement,Open,High,,2024-06-15
1160,Documentation Sprint Needed,Multiple services missing architecture documentation,Open,Low,,2024-06-17
